,company,job_link,job_location,job_posted,job_title
13,Streck,http://www.indeed.com/rc/clk?jk=316fc78c386d55ac&fccid=0133f7a60e8ad6a2,"Omaha, NE",Just posted,Medical Device Engineer
14,"MacAulay-Brown, Inc.",http://www.indeed.com/rc/clk?jk=d644bd617e0c3f43&fccid=b253b564901b80b5,"Fairfax, VA",Just posted,Mid-Level Research Analyst
15,"MacAulay-Brown, Inc.",http://www.indeed.com/rc/clk?jk=893ed73759934d36&fccid=b253b564901b80b5,"Suitland, MD",Just posted,Naval Missile Analyst (Mid Level)
16,Old Dominion University Research Foundation,http://www.indeed.com/rc/clk?jk=4f27eb2559d10a2d&fccid=1047e0c3fa3cc19d,"Norfolk, VA",Just posted,Research Scientist
17,Google,http://www.indeed.com/rc/clk?jk=b8b0bdeac812efda&fccid=a5b4499d9e91a5c6,"Cambridge, MA 02142 (East Cambridge area)",Just posted,University Programs Coordinator
18,"ZymoChem, Inc.","http://www.indeed.com/cmp/ZymoChem,-Inc./jobs/Research-Associate-8dd44ece6354e203?r=1&fccid=c3cac938afe22bdd","Berkeley, CA",Just posted,"Research Associate, Synthetic Biology"
19,Google,http://www.indeed.com/rc/clk?jk=4512d91861e43e72&fccid=a5b4499d9e91a5c6,"Mountain View, CA",Just posted,Candidate Offer Assessment Specialist (Tech)
20,USfalcon,http://www.indeed.com/rc/clk?jk=05a0912615736812&fccid=1821c743cbb79da8,"Hanscom AFB, MA",Just posted,Journeyman Cost Estimator/Research Analyst
21,USfalcon,http://www.indeed.com/rc/clk?jk=c5c2f5ee39288dd1&fccid=1821c743cbb79da8,"Lackland AFB, TX",Just posted,Senior Cost Estimator/Research Analyst Level 1
22,"MacAulay-Brown, Inc.",http://www.indeed.com/rc/clk?jk=d422b9320820cf3d&fccid=b253b564901b80b5,"San Antonio, TX 78228 (Third World area)",Just posted,Behavioral Scientist / MISO Officer (Clinical Psychologist)
23,"Measured Progress, Inc.",http://www.indeed.com/rc/clk?jk=04b12bc9ce1c62b7&fccid=6a8d5c50a6edc6d2,"Dover, NH 03820",Just posted,Psychometrician/Research Scientist - Senior
24,"Measured Progress, Inc.",http://www.indeed.com/rc/clk?jk=deb93fcb583dc1be&fccid=6a8d5c50a6edc6d2,"Dover, NH 03820",Just posted,Senior Advisor For Measurement Solutions - Product
25,"Clinical Laboratories of Hawaii, LLP",http://www.indeed.com/rc/clk?jk=548900f2512761b2&fccid=cc177ad0390e08a0,"Island of Hawai‘i, HI",Just posted,Medical Technologist/Medical Laboratory Technician
26,Dynamit,http://www.indeed.com/rc/clk?jk=6534b862a7d3603d&fccid=d739f9ac67f1cf5a,"Columbus, OH",Today,Data Scientist
27,Acxiom,http://www.indeed.com/rc/clk?jk=2a0897add3362040&fccid=384f0a88ba4a580e,"Redwood City, CA 94065",Today,Data Scientist
28,Goldman Sachs,http://www.indeed.com/rc/clk?jk=9dbe0f35a035f1e5&fccid=16a97ed26c75bf2d,"New York, NY",Today,Technology - App Bank - Machine Learning Architects
29,YuMe,http://www.indeed.com/rc/clk?jk=88671f99ff03f5f4&fccid=2a95b78f0b386f2b,"Redwood City, CA 94063",Today,Sr. Data Scientist
30,"Equilar, Inc.",http://www.indeed.com/rc/clk?jk=c53323fac5da0471&fccid=6d80c4c4a534793a,"Nashville, TN",Today,Research Analyst
31,AT&T,http://www.indeed.com/rc/clk?jk=918f109c5d24599c&fccid=25b5166547bbf543,"Greenwood Village, CO",Today,Senior Data Analysis Business Intelligence Solutions Analyst
32,EY,http://www.indeed.com/rc/clk?jk=3479663ebc07bcbb&fccid=1544766d4c2915b0,"New York, NY",Today,FIDS - Forensic Technology & Discovery Services Manager - Data Scientist
33,MAPFRE Insurance,http://www.indeed.com/rc/clk?jk=3d40467d389e51dd&fccid=9ff30236c910acd3,"Match, TN",Today,Statistician II
34,Bose,http://www.indeed.com/rc/clk?jk=5549ae2e9990d064&fccid=42f1e4ca72488e15,"Framingham, MA 01701",Today,Qualitative Consumer Researcher
35,Syngenta,http://www.indeed.com/rc/clk?jk=c59201165988f011&fccid=212d266bb52619f8,"Durham, NC",Today,"Associate Scientist - Nematology (Durham, NC) Job"
36,Blue Yonder GmbH,http://www.indeed.com/rc/clk?jk=639556825d68f728&fccid=8270feb8e8be340a,"Dallas, TX",Today,Physicist/Mathematician/Computer Scientist as Data Scientist in the USA
37,Department Of Agriculture,http://www.indeed.com/rc/clk?jk=9fa9303982134d85&fccid=a732c86e1c4978a8,"Ames, IA",Today,Research Biologist (Computational) (Research Associate)
38,Massachusetts General Hospital(MGH),http://www.indeed.com/rc/clk?jk=05625451dc74bb76&fccid=3aaabf5c54e51db9,"Boston, MA",Today,RESEARCH TECHNICIAN II
39,Wuxi NextCODE,http://www.indeed.com/cmp/Samsung/jobs/Genetic-Variant-Curation-Scientist-edcd259f9918b5ff?r=1&fccid=0b7c32797ff1357f,"Cambridge, MA",Today,Genetic Variant Curation Scientist
40,Apple,http://www.indeed.com/rc/clk?jk=98a3b8431e0f4838&fccid=c1099851e9794854,"Santa Clara Valley, CA",Today,Imaging Scientist
41,Mount Sinai Medical Center,http://www.indeed.com/rc/clk?jk=2f4a823d8a46e557&fccid=262b875a0afefb01,"Manhattan, NY",Today,Postdoctoral Fellow
42,CAPCO,http://www.indeed.com/rc/clk?jk=8fb072aee7a57628&fccid=c2a63affe8751868,"New York, NY 10271 (Financial District area)",Today,Senior Data Scientist
43,Brown and Caldwell,http://www.indeed.com/rc/clk?jk=f3d93e8d4ba64e67&fccid=25f6181eb062098d,"Orlando, FL",Today,Managing Engineer (Water Resources Leader)
44,Battelle,http://www.indeed.com/rc/clk?jk=60157dee4cea6977&fccid=17d397c17f760b21,"West Jefferson, OH 43162",Today,Junior Inhalation Specialist
45,Pall,http://www.indeed.com/rc/clk?jk=c8f97673503e67c3&fccid=812e26d5d0583fc4,"Westborough, MA 01581",Today,5080 Senior Technical Scientist
46,Intelligent Automation,http://www.indeed.com/rc/clk?jk=19cb9dcbb3579dd4&fccid=e6e7c1643002bad0,"Rockville, MD 20855",Today,Engineer
47,The Bill & Melinda Gates Foundation,http://www.indeed.com/rc/clk?jk=596e9e531af27c74&fccid=7819b4c0c1f502eb,"Seattle, WA",Today,Fellow Job
48,Cabot Corporation,http://www.indeed.com/rc/clk?jk=4cf8376c8a2c06ed&fccid=75929a410097a9db,"Billerica, MA 01821",Today,Chief Battery Scientist
49,Teva Pharmaceuticals,http://www.indeed.com/rc/clk?jk=148c3d4299271eb0&fccid=898362c5e54ec4c7,"Parsippany, NJ",Today,Position Title: Clinical R&D Scientist II
50,AbbVie,http://www.indeed.com/rc/clk?jk=f9e208bddeaba469&fccid=a3b51ece17c02aae,"Lake County, IL",Today,"Senior Scientist, In Vivo Pharmacology - Immuno-oncology"
51,Ball Aerospace,http://www.indeed.com/rc/clk?jk=1da87b9b43cc8304&fccid=82c5e27e77990fa2,"Annapolis Junction, MD",Today,Senior Computer Scientist (658600)
52,Northern Arizona Healthcare,http://www.indeed.com/rc/clk?jk=4104c453eac8d484&fccid=336b584757c85747,"Cottonwood, AZ",Today,MEDICAL LAB SCIENTIST I VVMC 18221
53,Syngenta,http://www.indeed.com/rc/clk?jk=8ee094f5ccd501f2&fccid=212d266bb52619f8,"Durham, NC",Today,"Senior Research Scientist - Microbiology/Fermentation (Durham, NC) Job"
54,Evangelical Community Hospital,http://www.indeed.com/rc/clk?jk=3d1aea0628f3f0d1&fccid=1a356cf428a1fce3,"Lewisburg, PA",Today,Medical Laboratory Scientist
55,Teva Pharmaceuticals,http://www.indeed.com/rc/clk?jk=22f224a7ea8545fc&fccid=898362c5e54ec4c7,"City of Sunrise, FL",Today,Position Title: Scientist Principal - Formulation
56,Ipsos North America,http://www.indeed.com/rc/clk?jk=2ea20100369ce043&fccid=d73294b71d7f0354,"Boston, MA",Today,Loyalty - Market Research Manager 2 to 3+ years experience
57,Texas A&M AgriLife,http://www.indeed.com/rc/clk?jk=e21acec74f8ed841&fccid=e0130510662ad262,Texas,Today,Project Director
58,Syngenta,http://www.indeed.com/rc/clk?jk=296cf71faf80c01b&fccid=212d266bb52619f8,"Durham, NC",Today,"Senior Research Scientist (Durham, NC) Job"
59,Syngenta,http://www.indeed.com/rc/clk?jk=fcbb0cd3986b5cb6&fccid=212d266bb52619f8,"Durham, NC",Today,"Associate Scientist - Molecular Biology (Durham, NC) Job"
60,Syngenta,http://www.indeed.com/rc/clk?jk=77c159a58a5fe583&fccid=212d266bb52619f8,"Woodland, CA",Today,"Production Technology Scientist (Woodland, CA) Job"
61,Syngenta,http://www.indeed.com/rc/clk?jk=e10148de1ebe4bed&fccid=212d266bb52619f8,"Durham, NC",Today,"Senior Scientist - Molecular Biology (Durham, NC) Job"
62,APC,http://www.indeed.com/rc/clk?jk=b5db8c2594d790b1&fccid=ae39ae1b79866115,"Sublette, KS",Today,Lead Maintenance Technician
63,Fred Hutchinson Cancer Research Center,http://www.indeed.com/rc/clk?jk=2d14309bfde6f0fc&fccid=a513e92edbf529af,"Seattle, WA 98101 (Downtown area)",Today,Clinical Research Coord I/II
64,DEPT OF HEALTH/MENTAL HYGIENE,http://www.indeed.com/rc/clk?jk=3e29d393d10b50c3&fccid=dc0fdb58dd346fd6,"Bronx, NY",Today,"District Health Evaluator, Center for Health Equity"
65,AMRI,http://www.indeed.com/rc/clk?jk=1b984c2421f24dba&fccid=7576ab3fbe91e495,"West Lafayette, IN 47906",Today,Scientist--Vibrational Spectroscopist
66,CDK Global,http://www.indeed.com/rc/clk?jk=bbf7e03c2c9c0d73&fccid=cf4c744760f4998e,"Hoffman Estates, IL 60169",Today,Software Engineer II - UI Developer
67,CDK Global,http://www.indeed.com/rc/clk?jk=5a647051ee3161c5&fccid=cf4c744760f4998e,"Seattle, WA",Today,Manager of Software Engineering
68,CDK Global,http://www.indeed.com/rc/clk?jk=4fdb06ab5dc61b97&fccid=cf4c744760f4998e,"Seattle, WA",Today,Director of Software Engineering
69,Oak Ridge National Laboratory,http://www.indeed.com/rc/clk?jk=4ac42f70cc1b3919&fccid=64e028df9b3fd2c4,"Oak Ridge, TN 37830",Today,Postdoctoral Research Associate in Visual Analytics / NB50574367
70,Inscopix,http://www.indeed.com/rc/clk?jk=288e3cf059406066&fccid=d6ac12c7f2632940,"Palo Alto, CA 94303 (Duveneck-Saint Francis area)",Today,Application Data Scientist
71,RangTech,http://www.indeed.com/rc/clk?jk=d4d20b7c655bd314&fccid=f924423dab22b92a,"Township of Piscataway, NJ",Today,Data Scientist
72,Western Union,http://www.indeed.com/rc/clk?jk=4d10116cc9cd23c7&fccid=a9a275f507bb2412,"Englewood, CO 80112",Today,"Manager, Customer Analytics/Data Scientist"
73,Visiting Nurse Service of New York,http://www.indeed.com/rc/clk?jk=ffc3b45fda753d25&fccid=bf8d0f5b45d49fcf,"Manhattan, NY",Today,Senior Statistical Analyst
74,ThisWay,http://www.indeed.com/rc/clk?jk=7220bec2f5a21618&fccid=f44456a6041666ce,"San Francisco, CA",Today,Machine Learning Algorithm Developer Engineer
75,"Goldstone Partners, Inc.",http://www.indeed.com/rc/clk?jk=99c801e9e876fbad&fccid=8b78e6c58424d4b4,"Louisville, CO",Today,Data Scientist
76,American Express,http://www.indeed.com/rc/clk?jk=380f9986fda89e61&fccid=f057e04c37cca134,"New York, NY 10001 (Chelsea area)",Today,"Statistician, CMS Performance Analytics"
77,NYU Langone Medical Center,http://www.indeed.com/cmp/NYU-Langone-Medical-Center/jobs/Research-Scientist-b6126ad8be220b64?r=1&fccid=a259fc86b1470609,"New York, NY 10016 (Gramercy area)",Today,Research Scientist
78,Merck,http://www.indeed.com/rc/clk?jk=b11e455446394609&fccid=c38b7d5e0419a6a7,"West Point, PA",Today,Associate Principal Scientist Job
79,Department of the Air Force,http://www.indeed.com/rc/clk?jk=3d45ecd4de6d4277&fccid=00de2a4244e56114,"Wright-Patterson AFB, OH",Today,"Operations Research Analyst, DR-1515-02"
80,Department of the Air Force,http://www.indeed.com/rc/clk?jk=1bb9cd3b1c44e42a&fccid=00de2a4244e56114,"Wright-Patterson AFB, OH",Today,Operations Research Analyst DR-1515-02
81,IDbyDNA,http://www.indeed.com/cmp/IDbyDNA/jobs/Full-Stack-Software-Engineer-bbe585c33dbbe13c?r=1&fccid=434b1461a442274d,"Sunnyvale, CA 94085",Today,Full Stack Software Engineer
82,UC Irvine Health,http://www.indeed.com/rc/clk?jk=98e0443e91670f7d&fccid=576e1e9ae76b4557,"Orange, CA 92868",Today,Clinical Lab Scientist - Microbiology - F/T - Days
83,CDK Global,http://www.indeed.com/rc/clk?jk=a6ca94e3dda9e025&fccid=cf4c744760f4998e,"Detroit, MI 48226 (Downtown area)",Today,Digital Advertising Manager
84,"ICF International, Inc.",http://www.indeed.com/rc/clk?jk=40a56b89e900943d&fccid=70c9bc807342d037,"Fairfax, VA",Today,Environmental Scientist/Engineer
85,"Goldstone Partners, Inc.",http://www.indeed.com/rc/clk?jk=357898f8a122f917&fccid=8b78e6c58424d4b4,"Louisville, CO",Today,Data and Analytics Team Lead
86,Merck,http://www.indeed.com/rc/clk?jk=0594d60369254103&fccid=c38b7d5e0419a6a7,"Kenilworth, NJ",Today,Associate Principal Scientist - BioProcess Technical Operations Job
87,CDK Global,http://www.indeed.com/rc/clk?jk=39bc1050668c528a&fccid=cf4c744760f4998e,"Seattle, WA",Today,Email Marketing Manager
88,MarketShare,http://www.indeed.com/rc/clk?jk=37c95ebead70fe4c&fccid=2a061333eeff6254,"Los Angeles, CA",Today,Sr. Marketing Scientist
89,"Goldstone Partners, Inc.",http://www.indeed.com/rc/clk?jk=c76c26534058ec0c&fccid=8b78e6c58424d4b4,"Louisville, CO",Today,Data Architect
